2016-11-09,06:36:53.040081,KitchenADiningChair
2016-11-09,06:37:41.286665,KitchenADiningChair
2016-11-09,06:38:14.355201,KitchenAStove
2016-11-09,06:38:21.773576,MainEntryway
2016-11-09,06:38:21.976486,MainEntryway
2016-11-09,06:38:22.177068,MainEntryway
2016-11-09,06:38:23.173710,KitchenAArea
2016-11-09,06:38:27.857307,KitchenAArea
2016-11-09,06:38:37.983542,KitchenAArea
2016-11-09,06:39:01.696547,KitchenADiningChair
2016-11-09,06:39:11.354617,KitchenAArea
2016-11-09,06:39:26.704529,KitchenAStove
2016-11-09,06:39:28.606789,KitchenAArea
2016-11-09,06:39:41.724575,KitchenAArea
2016-11-09,06:39:53.138276,KitchenAStove
2016-11-09,06:39:55.412272,KitchenAArea
2016-11-09,06:40:06.023184,KitchenADiningChair
2016-11-09,06:40:08.722976,DiningRoomAArea
2016-11-09,06:40:17.150877,DiningRoomAArea
2016-11-09,06:40:22.106422,KitchenADiningChair
2016-11-09,06:40:22.211369,DiningRoomAArea
2016-11-09,06:40:27.275494,DiningRoomAArea
2016-11-09,06:40:28.528892,BedroomBBed
2016-11-09,06:40:29.333858,DiningRoomAArea
2016-11-09,06:40:29.760385,BedroomBArea
2016-11-09,06:40:36.881617,BedroomBArea
2016-11-09,06:40:38.190103,KitchenADiningChair
2016-11-09,06:40:39.690011,BedroomBArea
2016-11-09,06:40:41.377130,BedroomBArea
2016-11-09,06:40:41.835937,BedroomBBed
2016-11-09,06:40:42.846158,KitchenAArea
2016-11-09,06:40:45.442580,KitchenAStove
2016-11-09,06:40:47.128287,KitchenAStove
2016-11-09,06:40:47.153712,KitchenAArea
2016-11-09,06:40:52.406275,KitchenAArea
2016-11-09,06:40:56.341578,KitchenAArea
2016-11-09,06:40:57.314162,BedroomBArea
2016-11-09,06:40:58.713318,BedroomBBed
2016-11-09,06:41:03.130222,BedroomBArea
2016-11-09,06:41:06.278085,KitchenAArea
2016-11-09,06:41:10.355072,KitchenADiningChair
2016-11-09,06:41:13.919652,MainEntryway
2016-11-09,06:42:22.742743,KitchenAStove
2016-11-09,06:42:23.332742,KitchenAArea
2016-11-09,06:42:24.622540,KitchenAStove
